ISS_ID,WR_DT,TOT_AMT,BYR_CD,SUP,BYR
2013092341000008f2r07vnm,2013-09-23,386199,C30391,Comp1,Comp146
2013092341000008f2r07vnl,2013-09-23,352121,C30391,Comp1,Comp146
2013061041000008f2r04tpc,2013-06-10,278806,C30391,Comp1,Comp146
2013060441000008f2r04ncr,2013-06-04,340846,C30391,Comp1,Comp146
2013093041000008f2r083r2,2013-09-30,140250,C30391,Comp1,Comp146
2013093041000008f2r083r0,2013-09-30,134000,C30391,Comp1,Comp146
2013100541000008f2r08khy,2013-10-05,261360,C30391,Comp1,Comp146
2013102241000008f2r08u6o,2013-10-22,336193,C30391,Comp1,Comp146
2013081341000008f2r06sy4,2013-08-13,260931,C30391,Comp1,Comp146
2013081341000008f2r06sy3,2013-08-13,92081,C30391,Comp1,Comp146
2013081341000008f2r06sy5,2013-08-13,272129,C30391,Comp1,Comp146
2013090941000008f2r07q2m,2013-09-09,107668,C30391,Comp1,Comp146
2013082041000008f2r06x5j,2013-08-20,255222,C30391,Comp1,Comp146
2013082741000008f2r071do,2013-08-27,272954,C30391,Comp1,Comp146
2013082741000008f2r071dp,2013-08-27,117656,C30391,Comp1,Comp146
2013111941000008f2r09rpi,2013-11-19,259270,C30391,Comp1,Comp146
2013111941000008f2r09rpk,2013-11-19,252351,C30391,Comp1,Comp146
2013111941000008f2r09rpl,2013-11-19,225258,C30391,Comp1,Comp146
2013102941000008f2r08yqd,2013-10-29,267091,C30391,Comp1,Comp146
2014020441000008f2r0c6un,2014-02-04,232903,C30391,Comp1,Comp146
2014012841000008f2r0bu8p,2014-01-28,250349,C30391,Comp1,Comp146
2013121041000008f2r0alx2,2013-12-10,110110,C30391,Comp1,Comp146
2014012241000008f2r0bqhp,2014-01-22,131131,C30391,Comp1,Comp146
2013112641000008f2r09vax,2013-11-26,264506,C30391,Comp1,Comp146
2014011441000008f2r0bm9a,2014-01-14,265716,C30391,Comp1,Comp146
2013123041000008f2r0axbs,2013-12-30,250129,C30391,Comp1,Comp146
2014011341000008f2r0bldp,2014-01-13,95887,C30391,Comp1,Comp146
2014011341000008f2r0bjs2,2014-01-13,249007,C30391,Comp1,Comp146
2014022541000008f2r0cocp,2014-02-25,292699,C30391,Comp1,Comp146
2014031841000008f2r0dmq8,2014-03-18,253726,C30391,Comp1,Comp146
2014022541000008f2r0cocs,2014-02-25,251064,C30391,Comp1,Comp146
2014022541000008f2r0cocq,2014-02-25,260744,C30391,Comp1,Comp146
2014031841000008f2r0dmqa,2014-03-18,263571,C30391,Comp1,Comp146
2013121041000008f2r0alx1,2013-12-10,289465,C30391,Comp1,Comp146
2014012741000008f2r0bsyu,2014-01-27,454993,C30391,Comp1,Comp146
2014021941000008f2r0clv2,2014-02-19,123101,C30391,Comp1,Comp146
2014030441000008f2r0d4ag,2014-03-04,251229,C30391,Comp1,Comp146
2014020541000008f2r0ce30,2014-02-05,258115,C30391,Comp1,Comp146
2014020541000008f2r0ce31,2014-02-05,85228,C30391,Comp1,Comp146
2013111241000008f2r09o7e,2013-11-12,355146,C30391,Comp1,Comp146
2013121641000008f2r0aors,2013-12-16,353815,C30391,Comp1,Comp146
2014022441000008f2r0cnt5,2014-02-24,231946,C30391,Comp1,Comp146
2013110441000008f2r09l43,2013-11-04,361240,C30391,Comp1,Comp146
2013120341000008f2r0adun,2013-12-03,251152,C30391,Comp1,Comp146
2013110741000008f2r09lbc,2013-11-07,310948,C30391,Comp1,Comp146
2014060241000008f2r0fz7w,2014-06-02,594110,C30391,Comp1,Comp146
2014081241000008f2r0ikea,2014-08-12,286407,C30391,Comp1,Comp146
2014042241000008f2r0epm4,2014-04-22,282568,C30391,Comp1,Comp146
2014042241000008f2r0epm3,2014-04-22,268323,C30391,Comp1,Comp146
2014061141000008f2r0gko1,2014-06-11,340087,C30391,Comp1,Comp146
2011042541000008f0k03ghc,2011-04-25,9.00E+05,C30391,Comp2,Comp146
2011093041000008f0k04szr,2011-09-30,1540000,C30391,Comp2,Comp146
2011061641000008f0k03tca,2011-06-16,660000,C30391,Comp2,Comp146
2011081841000008f0k04c19,2011-08-18,660000,C30391,Comp2,Comp146
2011062741000008f0k03z0f,2011-06-27,9.00E+05,C30391,Comp2,Comp146
2011062741000008f0k03z0e,2011-06-27,660000,C30391,Comp2,Comp146
2011083141000008f0k04ibj,2011-08-31,660000,C30391,Comp2,Comp146
2011093041000008f0k04rqh,2011-09-30,9.00E+05,C30391,Comp2,Comp146
2011052541000008f0k03p51,2011-05-25,9.00E+05,C30391,Comp2,Comp146
2012013141000008f0k05uav,2012-01-31,9.00E+05,C30391,Comp2,Comp146
2012022941000008f0k063wd,2012-02-29,9.00E+05,C30391,Comp2,Comp146
2012073141000008f0k00il6,2012-07-31,9.00E+05,C30391,Comp2,Comp146
2012060841000008f0k073lj,2012-06-08,2.00E+05,C30391,Comp2,Comp146
2012091241000008f0k00w8s,2012-09-12,1.00E+06,C30391,Comp2,Comp146
2012092441000008f0k01257,2012-09-24,6.00E+05,C30391,Comp2,Comp146
2012112041000008f0k01nvp,2012-11-20,9.00E+05,C30391,Comp2,Comp146
2012122441000008f0k02071,2012-12-24,9.00E+05,C30391,Comp2,Comp146
2012092841000008f0k0145j,2012-09-28,9.00E+05,C30391,Comp2,Comp146
2012113041000008f0k01r0a,2012-11-30,3520000,C30391,Comp2,Comp146
2012103041000008f0k01f85,2012-10-30,3520000,C30391,Comp2,Comp146
2012093041000008f0k014kg,2012-09-30,3520000,C30391,Comp2,Comp146
2013041841000008f0k034ud,2013-04-18,690000,C30391,Comp2,Comp146
2013022841000008f0k02p3d,2013-02-28,1.00E+05,C30391,Comp2,Comp146
2013050641000008f0k03e6c,2013-05-06,310000,C30391,Comp2,Comp146
2013012141000008f0k029wt,2013-01-21,9.00E+05,C30391,Comp2,Comp146
2013043041000008f0k03c7s,2013-04-30,4301000,C30391,Comp2,Comp146
2013052241000008f0k03lbi,2013-05-22,9.00E+05,C30391,Comp2,Comp146
2013082841000008f0k04ocy,2013-08-28,1100000,C30391,Comp2,Comp146
2013082841000008f0k04ocv,2013-08-28,1100000,C30391,Comp2,Comp146
2013093041000008f0k051v0,2013-09-30,1589000,C30391,Comp2,Comp146
2013093041000008f0k051v2,2013-09-30,9.00E+05,C30391,Comp2,Comp146
2013073041000008f0k04c32,2013-07-30,4301000,C30391,Comp2,Comp146
2013091641000008f0k04ta9,2013-09-16,7.00E+05,C30391,Comp2,Comp146
2013092541000008f0k04zc9,2013-09-25,660000,C30391,Comp2,Comp146
2013063041000008f0k040el,2013-06-30,792000,C30391,Comp2,Comp146
2013072241000008f0k048ti,2013-07-22,2500000,C30391,Comp2,Comp146
2013053041000008f0k03nph,2013-05-30,792000,C30391,Comp2,Comp146
2013062741000008f0k03zfu,2013-06-27,7.00E+05,C30391,Comp2,Comp146
2013071241000008f0k043o8,2013-07-12,9.00E+05,C30391,Comp2,Comp146
2013082041000008f0k04o7p,2013-08-20,1155000,C30391,Comp2,Comp146
2013123041000008f0k064sq,2013-12-30,715000,C30391,Comp2,Comp146
2013101441000008f0k05evq,2013-10-14,-1562000,C30391,Comp2,Comp146
2013113041000008f0k05sxg,2013-11-30,660000,C30391,Comp2,Comp146
2014032841000008f0k078ho,2014-03-28,660000,C30391,Comp2,Comp146
2013122741000008f0k064d8,2013-12-27,660000,C30391,Comp2,Comp146
